部屋がきれいになったね、すごく頑張ったね。,今日は特に何も言わないよ。,もっと部屋を片付けなさい！
今日の部屋の片づけ、素晴らしいよ。,まあ、まだいいか。,もっと気を付けて部屋を片付けなさい。
君の努力を認めるよ、部屋がきれいになってきたね。,まあ、少しだけ進歩があったね。,まだまだだね、もっと頑張りなさい。
少しずつだけど、進歩があるよ。頑張ってるね。,少しずつ改善されているみたいだね。,もっと早く片付けなさい！
部屋を綺麗にするのは大変だろうけど、頑張っているね。,部屋の片づけは難しいけど、今日は特に何も言わないよ。,もっと手際よく片付けなさい！
綺麗に片づけてくれてありがとう、本当に助かるよ。,まあ、今日は何も言わないでおこう。,これじゃまだまだだね、もっと頑張りなさい。
今日の部屋の片づけ、本当に素晴らしいよ。,本当にすごいよ、何も言うことないよ。,もっと速く片付けなさい！
部屋がとてもきれいになったね、素晴らしい仕事だよ。,今日は何も言わないでおこう、頑張ってるみたいだし。,これじゃだめだよ、もっと真剣にやりなさい！
君の努力が見えるよ、部屋もだいぶきれいになったね。,今日は何にも言わないよ、まあまあの仕上がりだね。,もっと頑張って、もっときれいに片付けなさい！
いい感じだね、部屋もきれいになってきたよ。,今日は何も言わないでおこう、まあまあだね。,もっと頑張らないとだめだよ、もっと手を動かして！
これはすごいね、部屋がこんなにきれいになるなんて。,本当に素晴らしいよ、何も言うことないよ。,これじゃだめだよ、もっと頑張りなさい！
すごいよ、君の努力が実ってきたね、感謝してるよ。,本当にありがとう、今日は何も言わないでおこう。,もっと速く片付けなさい！
